state	particle_nocp	pcp	lucca	kth_nn_locart_k4	min_stratcp_factory_shaved_bounds2	kth_nn_stratcp_k4_factory_shaved_bounds2_friction01_leaf200_depth8
000	timeout	timeout	success	timeout	timeout	timeout
001	timeout	timeout	timeout	timeout	timeout	success
002	timeout	success	success	success	timeout	success
003	success	timeout	success	success	timeout	success
004	timeout	success	success	success	timeout	success
005	timeout	success	success	timeout	timeout	success
006	timeout	timeout	success	success	timeout	success
007	timeout	success	success	success	timeout	success
008	timeout	success	success	success	timeout	success
009	timeout	timeout	timeout	timeout	timeout	success
010	success	success	timeout	success	success	success
011	timeout	success	timeout	timeout	success	success
012	timeout	success	success	timeout	timeout	success
013	success	timeout	timeout	timeout	timeout	timeout
014	timeout	timeout	timeout	timeout	success	success
015	timeout	timeout	timeout	timeout	timeout	timeout
016	success	success	success	success	timeout	success
017	timeout	success	timeout	timeout	timeout	success
018	timeout	timeout	success	success	success	success
019	timeout	timeout	timeout	timeout	timeout	success
